,query,category,intent,sentiment
22518,"i want to check my delivery, tell me how I can do it",,,
22519,"I would like to track my package, tell me how to do it, please",,,
22520,can you track my package?,,,
22521,"I wanna track my package, tell me were I can do it",,,
22522,can you tell me where to check my packages?,,,
22523,"i wanna check my order, tell me where I can do it",,,
22524,"i want to view the status of my ordr, can u help me?",,,
22525,could you ask an agent if I could track my fucking orders?,,,
22526,can you tell me how to track my package?,,,
22527,"I want to check my orders, tell me how I can do it",,,
22528,show me the status of my order,,,
22529,can you provide information about the status of my purchase?,,,
22530,can you tell me where to track my shipment?,,,
22531,I want to know how I can know where my order is,,,
22532,"I want to track my shipments, can you tell me how to do it?",,,
22533,ask an agent if I can check my orders,,,
22534,tell me if I can track my shipments,,,
22535,I need help checking my package,,,
22536,"please, can you ask an agent if I could track my orders?",,,
22537,is my order out for delivery?,,,
22538,"Id like to track my delivery, could you tell me where to do it?",,,
22539,ask an agent about the status of my purchase,,,
22540,"please, could you ask an agent if I can track my order?",,,
22541,"I want to check my shipments, tell me where I can do it",,,
22542,"please, can you ask an agent how to know where my fucking order is?",,,
22543,how to check my packages,,,
22544,how can I view the status of my order?,,,
22545,"tell me if i could check my shipments, please",,,
22546,I wanna know where to check my orders,,,
22547,is it possible to check my order?,,,
22548,where do I check my shipment?,,,
22549,"i want to check the status of my order, what can i do?",,,
22550,ask an agent what the status of my order is,,,
22551,can you tell me how to know where my packages are?,,,
22552,tell me if I can track my orders,,,
22553,can you tell me where my purchase is?,,,
22554,I want to know how to know where my delivery is,,,
22555,I want to know where to track my packages,,,
22556,can you tell me where I can trrack my shipment?,,,
22557,"i want to track my order, can you tell me where to do it?",,,
22558,can you tell me how I can track my packages?,,,
22559,I want to know how to check my packages,,,
22560,"ask an agent how to check the status of my order, please",,,
22561,"I want to track my delivery, can you tell me how I can do it?",,,
22562,"I want to track my package, tell me how I can do it",,,
22563,I want to know if my shipments are on their way,,,
22564,help me track my pyrchase,,,
22565,tell me where to check my orders,,,
22566,tell me where I can check my shipments,,,
22567,can you tell me if I can check my shipment?,,,
22568,where can I track my packages?,,,
22569,"I want to check my shipment, can you tell me where to do it?",,,
22570,how can I track my order?,,,
22571,tell me how to know where my shipment is,,,
22572,can u ask an agent how to view the status of my purchase ?,,,
22573,I want to know how to know where my orders are,,,
22574,can you tell me where to track my orders?,,,
22575,tell me how I can check my shipments,,,
22576,ask an agent for information about the status of my order,,,
22577,could u ask an agent where to track my fucking order?,,,
22578,can you check the status of my order?,,,
22579,can you tell me if I can track my delivery?,,,
22580,"please, could you ask an agent how I could track my shipments?",,,
22581,"can you ask an agent if I could check my fucking order, please?",,,
22582,I want to know if my shipments are out for delivery,,,
22583,tell me how to check my shipments,,,
22584,"I want to check my shipment, can you tell me how to do it?",,,
22585,how can I check my orders?,,,
22586,how do I see the status of my order?,,,
22587,ask an agent how to track myorder,,,
22588,I want to know if i can check my orders,,,
22589,"i need help tracking my order, please",,,
22590,"id like to track my packages, could you tell me how to do it?",,,
22591,help  me cfheck my shipments,,,
22592,I need help viewing the status of my order,,,
22593,"I would like to check my packages, can you tell me where to do it?",,,
22594,can u ask an agent if i can check the status of my order?,,,
22595,how do  I track my shipment?,,,
22596,where to view the status of my purchase,,,
22597,"I want to track my package, tell me how to do it",,,
22598,is my package on its way?,,,
22599,how can I check the status of my order?,,,
22600,can you provide information about the status of my order?,,,
22601,can you ask an agent if I can check my order?,,,
22602,where do I track my package ?,,,
22603,how do I know where my packages are?,,,
22604,"please, ask an agent if I could check my fucking packages",,,
22605,I want to know where I can check my order,,,
22606,"I want to check my delivery, tell me how to do it",,,
22607,tell me how I can know where my orders are,,,
22608,I want to know where I can track my shipments,,,
22609,ask an agent where to track my purchase,,,
22610,"I want to check my order, tell me how I can do it",,,
22611,"please, could u ask an agent how I could check my shipments?",,,
22612,can you tell me where to track my order?,,,
22613,I want to know if I can check my package,,,
22614,I want to know if I can track my package,,,
22615,i want to know where to check my orders,,,
22616,"please, could u ask an agent if I could check my fucking package?",,,
22617,can you ask an agent if i can check my delivery?,,,
22618,"I want to view th status of my order, can you help me?",,,
22619,can you tell me how to know where my order is?,,,
22620,I want to track my purchase,,,
22621,track my shipment,,,
22622,can I track my edlivery?,,,
22623,"i want to track my shipment, can you tell me where I can do it?",,,
22624,"I want to check my orders, can you tell me how I can do it?",,,
22625,how do I know where my orders are?,,,
22626,tell me if my package is out for delivery,,,
22627,tell me if I can check my shipments,,,
22628,"i want to check my shipments, can you tell me where to do it?",,,
22629,ask an agent where to check my deliveries,,,
22630,how to see the status of my purchase,,,
22631,I want to know if I can track my order,,,
22632,where do I viwe the status of my purchase?,,,
22633,"I would like to track my shipment, could you tell me how to do it?",,,
22634,"I want to check my dlivery, can you tell me how to do it?",,,
22635,"I want to view the status of my order, what do I have to do?",,,
22636,I want to know if I can check my packages,,,
22637,"could u ask an agent where my fucking packages are, please?",,,
22638,track my shipments,,,
22639,"I want to check my package, can you tell me how I can do it?",,,
22640,I need help checking my orders,,,
22641,tell me how to track my deilveries,,,
22642,I want to know if my shipmetn is out for delivery,,,
22643,ask an agent if i can check my delivery,,,
22644,where to check my order,,,
22645,"i wanna check my packages, can you tell me where to do it?",,,
22646,tell me how I can track my package,,,
22647,help me check my packages,,,
22648,tell me where I can track my shipment,,,
22649,where can I check my order?,,,
22650,"I want to track my shipment, tell mewhere I can do it",,,
22651,is it possible to check my delivery?,,,
22652,can you ask an agent where I can check my package?,,,
22653,"I'd like to view the status of my fucking purchase, could you help me?",,,
22654,tell me if I can check my deliveries,,,
22655,"could you ask an agent if i could track my package, please?",,,
22656,can you tell me where I can check my order?,,,
22657,ask an agent were i could view the status of my purchase,,,
22658,can you tell me where I can track my orders?,,,
22659,"i want to track my package, tell me where I can do it",,,
22660,how to track my orders,,,
22661,ask an agent if i can track my orders,,,
